name,position,team,obp,hr,hr_rate,games_this_week,expected_starts,weekly_score
Ben Rice,1B,New York Yankees,0.455,12,0.09,7,6.0,0.4084
Xavier Edwards,2B,Miami Marlins,0.424,2,0.014,7,6.0,0.3976
Max Muncy,3B,Los Angeles Dodgers,0.394,9,0.071,6,5.0,0.3892
Rhys Hoskins,1B,Cleveland Guardians,0.362,2,0.021,7,6.0,0.3757
Brendan Donovan,3B,Seattle Mariners,0.437,3,0.042,6,5.0,0.374
Christian Walker,1B,Houston Astros,0.396,8,0.056,6,5.0,0.3732
Elly De La Cruz,SS,Cincinnati Reds,0.349,10,0.067,7,6.0,0.373
Nolan Arenado,3B,Arizona Diamondbacks,0.313,5,0.043,6,5.0,0.3728
Ildemaro Vargas,1B,Arizona Diamondbacks,0.4,6,0.057,6,5.0,0.3725
Josh Jung,3B,Texas Rangers,0.385,4,0.033,6,5.0,0.3668
Dansby Swanson,SS,Chicago Cubs,0.341,6,0.045,7,6.0,0.3649
Javier Sanoja,3B,Miami Marlins,0.368,0,0.0,7,6.0,0.3649
Nick Gonzales,3B,Pittsburgh Pirates,0.381,0,0.0,6,5.0,0.3639
Jonathan Aranda,1B,Tampa Bay Rays,0.352,7,0.049,7,6.0,0.3636
Gleyber Torres,2B,Detroit Tigers,0.389,2,0.014,6,5.0,0.3621
Brice Turang,2B,Milwaukee Brewers,0.428,4,0.029,6,5.0,0.3606
Alec Burleson,1B,St. Louis Cardinals,0.361,5,0.034,7,6.0,0.3601
Alex Bregman,3B,Chicago Cubs,0.329,3,0.019,7,6.0,0.3596
Xander Bogaerts,SS,San Diego Padres,0.346,5,0.038,7,6.0,0.3593
Carlos Correa,SS,Houston Astros,0.382,3,0.022,6,5.0,0.359
Edouard Julien,2B,Colorado Rockies,0.388,2,0.02,6,5.0,0.3589
Ozzie Albies,2B,Atlanta Braves,0.372,7,0.047,6,5.0,0.3585
Marcelo Mayer,2B,Boston Red Sox,0.305,1,0.011,7,6.0,0.3577
Maikel Garcia,3B,Kansas City Royals,0.336,3,0.022,7,6.0,0.3575
Nick Kurtz,1B,Athletics,0.413,5,0.033,6,5.0,0.3573
Otto Lopez,SS,Miami Marlins,0.376,3,0.021,7,6.0,0.3572
Bobby Witt Jr.,SS,Kansas City Royals,0.36,2,0.013,7,6.0,0.3563
Miguel Vargas,3B,Chicago White Sox,0.357,6,0.042,6,5.0,0.356
Junior Caminero,3B,Tampa Bay Rays,0.35,9,0.063,7,6.0,0.3553
Connor Norby,1B,Miami Marlins,0.339,3,0.025,7,6.0,0.3549
Brayan Rocchio,SS,Cleveland Guardians,0.355,3,0.025,7,6.0,0.3544
Vladimir Guerrero Jr.,1B,Toronto Blue Jays,0.421,2,0.014,6,5.0,0.3536
Willson Contreras,1B,Boston Red Sox,0.383,7,0.05,7,6.0,0.3534
Masyn Winn,SS,St. Louis Cardinals,0.355,1,0.008,7,6.0,0.3533
Munetaka Murakami,1B,Chicago White Sox,0.37,13,0.089,6,5.0,0.3531
Michael Busch,1B,Chicago Cubs,0.322,2,0.014,7,6.0,0.3526
Bryce Harper,1B,Philadelphia Phillies,0.352,6,0.041,7,6.0,0.3522
Vinnie Pasquantino,1B,Kansas City Royals,0.276,4,0.03,7,6.0,0.3509
Matt Olson,1B,Atlanta Braves,0.374,11,0.071,6,5.0,0.3502
CJ Abrams,SS,Washington Nationals,0.406,8,0.056,6,5.0,0.3502
Manny Machado,3B,San Diego Padres,0.333,4,0.032,7,6.0,0.35
Nico Hoerner,2B,Chicago Cubs,0.371,4,0.026,7,6.0,0.3492
José Caballero,SS,New York Yankees,0.301,4,0.033,7,6.0,0.3488
JJ Wetherholt,2B,St. Louis Cardinals,0.353,7,0.045,7,6.0,0.3484
Isaac Paredes,3B,Houston Astros,0.352,3,0.024,6,5.0,0.3481
Geraldo Perdomo,SS,Arizona Diamondbacks,0.355,2,0.017,6,5.0,0.3475
Jeff McNeil,2B,Athletics,0.375,1,0.009,6,5.0,0.3471
Amed Rosario,3B,New York Yankees,0.313,4,0.06,7,6.0,0.3459
Kevin McGonigle,SS,Detroit Tigers,0.404,2,0.014,6,5.0,0.3456
Oswald Peraza,3B,Los Angeles Angels,0.361,4,0.041,6,5.0,0.3452
Colson Montgomery,SS,Chicago White Sox,0.343,9,0.066,6,5.0,0.3437
Jazz Chisholm Jr.,2B,New York Yankees,0.295,3,0.023,7,6.0,0.3418
Ty France,1B,San Diego Padres,0.308,3,0.058,7,6.0,0.3418
Samuel Basallo,C,Baltimore Orioles,0.323,5,0.051,7,4.2,0.3413
Spencer Torkelson,1B,Detroit Tigers,0.352,5,0.039,6,5.0,0.3401
José Ramírez,3B,Cleveland Guardians,0.333,6,0.04,7,6.0,0.3399
Pete Alonso,1B,Baltimore Orioles,0.322,6,0.041,7,6.0,0.3392
Sal Stewart,1B,Cincinnati Reds,0.34,9,0.061,7,6.0,0.3367
Jonathan India,2B,Kansas City Royals,0.31,2,0.034,7,6.0,0.3366
Trea Turner,SS,Philadelphia Phillies,0.304,4,0.027,7,6.0,0.3345
Dalton Rushing,C,Los Angeles Dodgers,0.421,7,0.123,6,3.5999999999999996,0.3343
Kazuma Okamoto,3B,Toronto Blue Jays,0.319,9,0.065,6,5.0,0.3334
Vaughn Grissom,2B,Los Angeles Angels,0.385,1,0.019,6,5.0,0.3321
Taylor Walls,SS,Tampa Bay Rays,0.295,0,0.0,7,6.0,0.3304
Edmundo Sosa,2B,Philadelphia Phillies,0.306,1,0.02,7,6.0,0.3304
Jacob Wilson,SS,Athletics,0.307,2,0.014,6,5.0,0.3296
Colt Keith,3B,Detroit Tigers,0.36,0,0.0,6,5.0,0.3294
Curtis Mead,1B,Washington Nationals,0.309,4,0.049,6,5.0,0.3286
Nasim Nuñez,2B,Washington Nationals,0.325,0,0.0,6,5.0,0.3279
Brandon Lowe,2B,Pittsburgh Pirates,0.356,8,0.059,6,5.0,0.3276
Drake Baldwin,C,Atlanta Braves,0.392,8,0.051,6,3.5999999999999996,0.3272
Tristan Gray,3B,Minnesota Twins,0.317,3,0.05,6,5.0,0.3264
Josh Naylor,1B,Seattle Mariners,0.281,4,0.03,6,5.0,0.3264
Carson Kelly,C,Chicago Cubs,0.411,2,0.021,7,4.2,0.3263
Shea Langeliers,C,Athletics,0.39,10,0.068,6,3.5999999999999996,0.3258
Nolan Gorman,3B,St. Louis Cardinals,0.278,5,0.04,7,6.0,0.3249
Miguel Rojas,SS,Los Angeles Dodgers,0.352,1,0.019,6,5.0,0.3246
Richie Palacios,2B,Tampa Bay Rays,0.365,1,0.016,7,6.0,0.3242
Gunnar Henderson,SS,Baltimore Orioles,0.275,9,0.059,7,6.0,0.3236
David Hamilton,3B,Milwaukee Brewers,0.351,0,0.0,6,5.0,0.3234
Ben Williamson,2B,Tampa Bay Rays,0.316,0,0.0,7,6.0,0.3234
Chase Meidroth,2B,Chicago White Sox,0.346,1,0.008,6,5.0,0.3233
